,connected,z_0,z_1,z_2
66,0,861.0,383.5508517742942,-308.7709547795573
67,1,858.0,-73.76725667390906,-103.80107114684677
68,1,858.0,-75.39644881225138,-102.22130109731097
69,1,858.0,-83.28931113902843,-94.59102805695147
70,1,858.0,-83.87501571472637,-94.10465241069869
71,1,858.0,-86.05599142263611,-92.42021041345572
72,1,858.0,-86.2005411030176,-92.31737773152963
73,1,858.0,-86.97452752670495,-91.90879211175024
74,1,858.0,-89.36093930537618,-91.73676340651127
75,0,858.0,-91.87810218978098,-91.7211678832117
76,1,856.0,182.2327433260907,-166.80107114684677
77,1,856.0,180.60355118774896,-165.22130109731097
78,1,856.0,172.7106888609717,-157.59102805695147
79,1,856.0,172.12498428527397,-157.1046524106987
80,1,856.0,169.94400857736355,-155.42021041345572
81,1,856.0,169.7994588969823,-155.31737773152963
82,1,856.0,169.02547247329494,-154.90879211175024
83,0,856.0,166.82072275550536,-154.7498588368153
84,1,852.0,-18.767256673909287,-25.80107114684688
85,1,852.0,-19.088831971572745,-25.489250943468505
86,1,852.0,-20.396448812251265,-24.22130109731097
87,1,852.0,-28.289311139028314,-16.591028056951473
88,1,852.0,-28.875015714726032,-16.104652410698463
89,1,852.0,-31.055991422636453,-14.420210413455834
90,1,852.0,-31.200541103017713,-14.317377731529632
91,1,852.0,-31.97452752670506,-13.908792111750245
92,1,852.0,-34.36093930537595,-13.736763406511045
93,0,852.0,-36.878102189780975,-13.721167883211592
94,1,848.0,221.9110311370448,-186.00369927115776
95,1,848.0,220.33084500493442,-184.2715979384476
96,1,848.0,218.42921377900643,-182.91259024096246
97,1,848.0,216.02040645455918,-181.2909198639377
98,1,848.0,215.4874081433136,-180.96261191315466
99,1,848.0,214.33074972868462,-180.32976549330442
100,1,848.0,209.62358369518643,-177.79334777160864
101,1,848.0,206.51914735623768,-176.14001343116968
102,1,848.0,204.89742065967562,-175.377067642018
103,1,848.0,200.18041126257276,-173.8195225648492
104,1,848.0,200.0795983273456,-173.79551210318618
105,1,848.0,200.03870726568334,-173.79256439883102
106,0,848.0,192.78731110985314,-173.74763710453328
107,1,845.0,-205.76725667390906,24.19892885315312
108,1,845.0,-207.39644881225138,25.77869890268903
109,1,845.0,-215.28931113902843,33.408971943048755
110,1,845.0,-215.87501571472637,33.89534758930154
111,1,845.0,-218.0559914226361,35.579789586544166
112,1,845.0,-218.2005411030176,35.68262226847037
113,1,845.0,-218.97452752670495,36.091207888249755
114,1,845.0,-221.36093930537618,36.263236593488955
115,0,845.0,-223.87810218978098,36.27883211678841
116,1,843.0,381.2327433260907,-250.80107114684677
117,1,843.0,379.60355118774896,-249.22130109731097
118,1,843.0,371.7106888609717,-241.59102805695147
119,1,843.0,371.12498428527397,-241.1046524106987
120,1,843.0,368.94400857736355,-239.42021041345572
121,1,843.0,368.7994588969823,-239.31737773152963
122,1,843.0,368.02547247329494,-238.90879211175024
123,1,843.0,365.63906069462405,-238.73676340651127
124,0,843.0,363.121897810219,-238.7211678832117
125,1,839.0,279.9110311370448,-178.00369927115776
126,1,839.0,278.3308450049344,-176.2715979384476
127,1,839.0,276.42921377900643,-174.91259024096246
128,1,839.0,274.0204064545592,-173.29091986393757
129,1,839.0,273.4874081433136,-172.96261191315466
130,1,839.0,272.3307497286844,-172.32976549330442
131,1,839.0,267.6235836951864,-169.79334777160852
132,1,839.0,264.5191473562377,-168.14001343116968
133,1,839.0,263.71296939512695,-167.7607447898872
134,1,839.0,260.5454850974868,-166.6853311662793
135,1,839.0,259.44178582345535,-166.37745813945583
136,1,839.0,254.22175066313002,-165.80530503978787
137,1,839.0,252.99696899044056,-165.76132742675054
138,0,839.0,251.06224368387893,-165.74934049742478
139,1,830.0,194.2327433260907,-115.80107114684677
140,1,830.0,192.60355118774896,-114.22130109731097
141,1,830.0,184.7106888609717,-106.59102805695147
142,1,830.0,184.12498428527397,-106.10465241069869
143,1,830.0,181.94400857736355,-104.42021041345572
144,1,830.0,181.7994588969823,-104.31737773152963
145,1,830.0,181.02547247329494,-103.90879211175024
146,1,830.0,178.63906069462405,-103.73676340651127
147,0,830.0,176.12189781021902,-103.7211678832117
148,1,824.0,86.23274332609071,10.19892885315312
149,1,824.0,84.60355118774896,11.77869890268903
150,1,824.0,76.71068886097169,19.408971943048755
151,1,824.0,76.12498428527397,19.895347589301537
152,1,824.0,73.94400857736355,21.579789586544166
153,1,824.0,73.79945889698229,21.682622268470368
154,1,824.0,73.02547247329494,22.091207888249755
