,average_num_tabu_constraints,elapsed_time_in_seconds,elapsed_time_in_seconds_for_search_problem,elapsed_time_in_seconds_for_slice_problem,num_milp_solved,num_search_problems
8883,0.14,0.22,0.11,0.01,1,1121
8884,0.14,0.21,0.1,0.01,1,1119
8885,0.14,0.19,0.08,0.01,1,1119
8886,0.14,0.3,0.18,0.02,2,1119
8887,0.14,0.28,0.16,0.01,2,1119
8888,0.14,0.19,0.08,0.01,1,1119
8889,0.14,0.19,0.08,0.01,1,1119
8890,0.14,0.19,0.08,0.01,1,1119
8891,0.14,0.19,0.08,0.01,1,1119
8892,0.14,0.29,0.17,0.02,2,1120
8893,0.14,0.27,0.16,0.01,2,1120
8894,0.14,0.19,0.08,0.01,1,1120
8895,0.14,0.19,0.08,0.01,1,1120
8896,0.14,0.28,0.17,0.01,2,1119
8897,0.14,0.26,0.15,0.01,2,1119
8898,0.14,0.32,0.2,0.02,3,1120
8899,0.14,0.24,0.12,0.01,2,1119
8900,0.14,0.33,0.21,0.02,3,1118
8901,0.14,0.42,0.3,0.01,3,1118
8902,0.14,0.3,0.19,0.01,2,1111
8903,0.14,0.74,0.59,0.05,6,1116
8904,0.14,2.68,2.55,0.02,24,1120
8905,0.14,1.0,0.83,0.06,8,1130
8906,0.14,1.1,0.99,0.01,11,1131
8907,0.14,0.93,0.82,0.01,3,1131
8908,0.14,0.93,0.8,0.02,2,1131
8909,0.14,1.42,1.3,0.01,4,1130
8910,0.14,0.52,0.41,0.01,1,1130
8911,0.14,0.52,0.4,0.02,2,1128
8912,0.14,0.47,0.36,0.01,2,1127
8913,0.14,0.81,0.69,0.02,2,1128
8914,0.14,0.78,0.67,0.01,3,1128
8915,0.14,0.64,0.52,0.02,2,1129
8916,0.14,1.01,0.9,0.02,4,1129
8917,0.14,0.67,0.55,0.02,3,1131
8918,0.14,1.01,0.89,0.01,3,1131
8919,0.14,0.29,0.18,0.01,1,1131
8920,0.14,0.48,0.36,0.02,2,1130
8921,0.14,0.68,0.57,0.01,3,1130
8922,0.14,0.7,0.58,0.02,2,1131
8923,0.14,0.97,0.85,0.01,2,1131
8924,0.14,0.32,0.21,0.01,1,1131
8925,0.14,0.29,0.18,0.01,1,1131
8926,0.14,0.31,0.2,0.01,1,1131
8927,0.14,0.31,0.2,0.01,1,1131
8928,0.14,0.5,0.37,0.02,2,1133
8929,0.14,0.89,0.76,0.02,4,1133
